ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
-1.9341,4.9987,6.6331,-7.5999,16.223,5.2044,-0.80207,-2.2694,-0.3259,3031664,2021-05-02 14:22:27:866,Jogging
1.076,5.2166,8.7851,-1.0115,14.411,6.089,1.277,-1.2077,-1.2339,3031665,2021-05-02 14:22:27:867,Jogging
0.58567,5.3937,9.5342,-1.6554,13.823,5.0525,1.751,-0.49572,-1.3958,3031666,2021-05-02 14:22:27:868,Jogging
0.32689,6.4697,9.7658,-1.962,13.544,3.372,2.0611,1.3986,-1.755,3031667,2021-05-02 14:22:27:869,Jogging
0.20431,3.3506,6.4288,-1.8974,7.6906,-2.1104,2.4135,3.4193,-2.0024,3031668,2021-05-02 14:22:27:870,Jogging
-1.0624,-0.85808,0.6674,-2.6886,3.002,-8.1997,2.438,4.7672,-1.7028,3031669,2021-05-02 14:22:27:871,Jogging
-3.3778,-13.443,-14.642,-3.3984,-4.014,-17.336,1.6842,5.4349,-0.8262,3031670,2021-05-02 14:22:27:872,Jogging
-7.2052,-18.02,-18.142,-7.1442,-8.6219,-20.944,0.43677,2.4108,0.31582,3031671,2021-05-02 14:22:27:873,Jogging
3.0237,4.5083,-3.3097,4.2471,12.761,1.8445,-2.8185,-4.4874,1.5262,3031672,2021-05-02 14:22:27:874,Jogging
15.459,7.2188,16.671,17.31,15.285,21.933,1.3974,2.2446,0.17959,3031673,2021-05-02 14:22:27:875,Jogging
9.2074,-4.4811,13.893,4.8706,4.2045,12.506,-0.58307,7.6673,1.2492,3031674,2021-05-02 14:22:27:876,Jogging
5.3256,-19.205,11.332,1.2471,-10.409,9.8601,1.5589,1.8686,-2.3329,3031675,2021-05-02 14:22:27:877,Jogging
-0.78998,-14.628,17.57,-5.0785,-6.0897,15.363,2.8515,7.2946,-2.1725,3031676,2021-05-02 14:22:27:878,Jogging
-3.4459,-11.782,8.6762,-4.9172,-2.6614,5.3857,4.4557,3.3506,0.13011,3031677,2021-05-02 14:22:27:879,Jogging
-2.547,-16.549,7.7908,-2.9168,-7.4103,4.252,6.4639,3.0827,1.4251,3031678,2021-05-02 14:22:27:880,Jogging
6.5241,-19.15,12.272,6.7006,-10.546,7.5696,7.3686,3.9386,2.5815,3031679,2021-05-02 14:22:27:881,Jogging
11.073,-14.547,-6.7693,8.4092,-5.5558,-9.6397,4.2006,-0.40317,-1.5837,3031680,2021-05-02 14:22:27:882,Jogging
0.32689,-14.342,-16.317,-2.1416,-4.9426,-17.63,5.5137,-6.3163,-3.2635,3031681,2021-05-02 14:22:27:883,Jogging
-6.0202,-17.257,-16.14,-9.1567,-8.1859,-18.152,2.7028,-1.6545,-1.0388,3031682,2021-05-02 14:22:27:884,Jogging
-17.543,-1.9886,-11.005,-17.284,7.5269,-8.6474,2.4551,6.6884,-1.9505,3031683,2021-05-02 14:22:27:885,Jogging
-9.1529,2.1384,-9.0439,-8.0821,11.367,-5.9055,2.3937,6.5161,-0.48533,3031684,2021-05-02 14:22:27:886,Jogging
7.7091,3.5413,3.8001,7.258,12.983,6.4124,0.092852,6.4385,0.37202,3031685,2021-05-02 14:22:27:887,Jogging
5.7205,1.1032,0.25879,4.477,10.477,2.8587,-0.37782,-1.4322,0.1014,3031686,2021-05-02 14:22:27:888,Jogging
3.5685,-1.866,-4.0997,1.871,7.2947,-1.0387,-0.33475,-3.2266,0.013744,3031687,2021-05-02 14:22:27:889,Jogging
-0.99429,-1.9886,-5.2847,-2.4476,6.9761,-1.5843,0.45112,-4.3906,-0.19517,3031688,2021-05-02 14:22:27:890,Jogging
-4.3313,1.0215,-7.8726,-4.2812,8.9705,-2.1297,-0.1967,-1.1909,-0.069639,3031689,2021-05-02 14:22:27:891,Jogging
-0.7355,1.0215,-4.9578,-0.55351,8.4472,1.4451,-1.6997,-0.71868,0.44471,3031690,2021-05-02 14:22:27:892,Jogging
1.3348,-3.228,-1.2531,0.9873,4.2004,5.1397,-2.2223,-0.39584,0.61728,3031691,2021-05-02 14:22:27:893,Jogging
-0.20431,-5.2166,-1.1032,-0.47721,2.539,4.8923,-2.6939,-0.82436,0.86682,3031692,2021-05-02 14:22:27:894,Jogging
2.9829,-16.344,-2.7104,2.1708,-7.6178,1.6893,-3.4599,-1.8485,1.4218,3031693,2021-05-02 14:22:27:895,Jogging
6.2381,-19.137,-1.7979,4.8255,-10.104,1.7489,-5.7583,-0.47586,2.229,3031694,2021-05-02 14:22:27:896,Jogging
0.47671,-19.477,-0.96704,-0.6886,-10.182,1.933,-6.4388,-2.1072,1.4218,3031695,2021-05-02 14:22:27:897,Jogging
